ros_time_sec,ros_time_nsec,O_T_EE_0,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15
1774903391.000000000,664949417.000000000,0.994505576,-0.097862018,0.036911119,0.000000000,-0.098381867,-0.995060098,0.012536231,0.000000000,0.035502644,-0.016099047,-0.999239903,0.000000000,0.445497616,-0.002765384,0.204297536,1.000000000
1774903391.000000000,698583364.000000000,0.994503790,-0.097878133,0.036916515,0.000000000,-0.098398087,-0.995058491,0.012536495,0.000000000,0.035507727,-0.016100416,-0.999239700,0.000000000,0.445498611,-0.002773242,0.204301082,1.000000000
1774903391.000000000,732616424.000000000,0.994498802,-0.097915595,0.036951543,0.000000000,-0.098436057,-0.995054763,0.012534316,0.000000000,0.035542188,-0.016103036,-0.999238433,0.000000000,0.445508581,-0.002785290,0.204315230,1.000000000
1774903391.000000000,766823053.000000000,0.994503348,-0.097889775,0.036897562,0.000000000,-0.098409252,-0.995057450,0.012531463,0.000000000,0.035489175,-0.016093953,-0.999240463,0.000000000,0.445494215,-0.002774775,0.204291988,1.000000000
1774903391.000000000,800634622.000000000,0.994505912,-0.097858647,0.036911027,0.000000000,-0.098378470,-0.995060441,0.012535607,0.000000000,0.035502669,-0.016098296,-0.999239914,0.000000000,0.445497399,-0.002762339,0.204296872,1.000000000
1774903391.000000000,834077835.000000000,0.994507231,-0.097847975,0.036903772,0.000000000,-0.098367711,-0.995061492,0.012536612,0.000000000,0.035495524,-0.016098201,-0.999240169,0.000000000,0.445496988,-0.002758965,0.204295198,1.000000000
1774903391.000000000,867938280.000000000,0.994505119,-0.097875792,0.036886922,0.000000000,-0.098395159,-0.995058819,0.012533416,0.000000000,0.035478622,-0.016094351,-0.999240831,0.000000000,0.445492483,-0.002770926,0.204287073,1.000000000
1774903391.000000000,902429580.000000000,0.994504711,-0.097872483,0.036906680,0.000000000,-0.098392170,-0.995059113,0.012533516,0.000000000,0.035498325,-0.016096279,-0.999240101,0.000000000,0.445497667,-0.002768180,0.204295165,1.000000000
1774903391.000000000,937234163.000000000,0.994508352,-0.097840514,0.036893339,0.000000000,-0.098360019,-0.995062274,0.012534930,0.000000000,0.035485429,-0.016095232,-0.999240576,0.000000000,0.445494580,-0.002756052,0.204289421,1.000000000
1774903391.000000000,970608472.000000000,0.994505553,-0.097867507,0.036897202,0.000000000,-0.098386957,-0.995059658,0.012531222,0.000000000,0.035489201,-0.016092883,-0.999240479,0.000000000,0.445496355,-0.002766050,0.204290829,1.000000000
1774903392.000000000,3994703.000000000,0.994505241,-0.097869428,0.036900515,0.000000000,-0.098388976,-0.995059443,0.012532438,0.000000000,0.035492346,-0.016094489,-0.999240342,0.000000000,0.445496501,-0.002767044,0.204293040,1.000000000
1774903392.000000000,37992238.000000000,0.994507153,-0.097850753,0.036898515,0.000000000,-0.098370373,-0.995061241,0.012535681,0.000000000,0.035490340,-0.016096855,-0.999240375,0.000000000,0.445495018,-0.002759803,0.204292215,1.000000000
1774903392.000000000,72078943.000000000,0.994506799,-0.097856997,0.036891501,0.000000000,-0.098376351,-0.995060705,0.012531292,0.000000000,0.035483691,-0.016092016,-0.999240689,0.000000000,0.445494350,-0.002762098,0.204288718,1.000000000
1774903392.000000000,106357097.000000000,0.994505524,-0.097869697,0.036892166,0.000000000,-0.098389132,-0.995059420,0.012533038,0.000000000,0.035483976,-0.016094273,-0.999240643,0.000000000,0.445494179,-0.002766260,0.204289479,1.000000000
1774903392.000000000,140182733.000000000,0.994505594,-0.097869050,0.036891988,0.000000000,-0.098388333,-0.995059551,0.012528866,0.000000000,0.035484220,-0.016090078,-0.999240701,0.000000000,0.445494893,-0.002766545,0.204289211,1.000000000
1774903392.000000000,174427986.000000000,0.994503404,-0.097914605,0.036830099,0.000000000,-0.098432181,-0.995055476,0.012508126,0.000000000,0.035423945,-0.016064950,-0.999243244,0.000000000,0.445488026,-0.002778954,0.204259499,1.000000000
1774903392.000000000,208525657.000000000,0.994507294,-0.097918800,0.036713727,0.000000000,-0.098432990,-0.995055934,0.012465183,0.000000000,0.035312316,-0.016010866,-0.999248064,0.000000000,0.445474533,-0.002770600,0.204188628,1.000000000
1774903392.000000000,243048429.000000000,0.994521032,-0.097874144,0.036459773,0.000000000,-0.098382460,-0.995061567,0.012414395,0.000000000,0.035065346,-0.015933686,-0.999257994,0.000000000,0.445431230,-0.002735243,0.204080320,1.000000000
1774903392.000000000,277308464.000000000,0.994538299,-0.097814855,0.036146539,0.000000000,-0.098316922,-0.995068483,0.012379194,0.000000000,0.034758082,-0.015865704,-0.999269811,0.000000000,0.445355984,-0.002698549,0.203942387,1.000000000
1774903392.000000000,310343503.000000000,0.994551294,-0.097785380,0.035867686,0.000000000,-0.098281615,-0.995072471,0.012338893,0.000000000,0.034485047,-0.015797100,-0.999280358,0.000000000,0.445278266,-0.002674832,0.203798627,1.000000000
1774903392.000000000,344352722.000000000,0.994548895,-0.097796936,0.035902662,0.000000000,-0.098291292,-0.995072388,0.012268298,0.000000000,0.034526611,-0.015730644,-0.999279971,0.000000000,0.445297288,-0.002669893,0.203709603,1.000000000
1774903392.000000000,378504037.000000000,0.994545438,-0.097809377,0.035964479,0.000000000,-0.098301032,-0.995072731,0.012161985,0.000000000,0.034598382,-0.015631293,-0.999279047,0.000000000,0.445348448,-0.002662160,0.203610153,1.000000000
1774903392.000000000,412360668.000000000,0.994527861,-0.097786485,0.036508670,0.000000000,-0.098279394,-0.995077372,0.011955416,0.000000000,0.035160550,-0.015478342,-0.999261806,0.000000000,0.445557068,-0.002638952,0.203529694,1.000000000
1774903392.000000000,446837663.000000000,0.994439667,-0.097952059,0.038417300,0.000000000,-0.098456755,-0.995065572,0.011468284,0.000000000,0.037105105,-0.015187251,-0.999195956,0.000000000,0.446254806,-0.002689764,0.203588909,1.000000000
1774903392.000000000,480622053.000000000,0.994286162,-0.098425927,0.041086633,0.000000000,-0.098935810,-0.995028092,0.010561683,0.000000000,0.039843577,-0.014566555,-0.999099747,0.000000000,0.447479528,-0.002847743,0.203692707,1.000000000
1774903392.000000000,514441013.000000000,0.994128324,-0.099099527,0.043230851,0.000000000,-0.099586165,-0.994976301,0.009246799,0.000000000,0.042098129,-0.013497959,-0.999022298,0.000000000,0.448980719,-0.003017787,0.203646658,1.000000000
1774903392.000000000,549286365.000000000,0.994007807,-0.099987540,0.043951313,0.000000000,-0.100417285,-0.994906127,0.007675536,0.000000000,0.042960799,-0.012043246,-0.999004169,0.000000000,0.450468743,-0.003241981,0.203298291,1.000000000
1774903392.000000000,582593441.000000000,0.993933103,-0.100830831,0.043713591,0.000000000,-0.101190047,-0.994838869,0.006078360,0.000000000,0.042875919,-0.010465065,-0.999025594,0.000000000,0.451901417,-0.003625650,0.202485633,1.000000000
1774903392.000000000,616666316.000000000,0.993894930,-0.101243853,0.043626788,0.000000000,-0.101535912,-0.994811904,0.004525614,0.000000000,0.042943085,-0.008927842,-0.999037629,0.000000000,0.453598788,-0.004060793,0.201408542,1.000000000
1774903392.000000000,650464773.000000000,0.993890980,-0.101194956,0.043829762,0.000000000,-0.101428608,-0.994828206,0.003134432,0.000000000,0.043286728,-0.007561021,-0.999034079,0.000000000,0.455657327,-0.004570016,0.200215081,1.000000000
1774903392.000000000,684598445.000000000,0.993953253,-0.100870321,0.043160811,0.000000000,-0.101044657,-0.994870455,0.001871228,0.000000000,0.042751487,-0.006221203,-0.999066368,0.000000000,0.457805547,-0.005260615,0.198559019,1.000000000
1774903392.000000000,718776226.000000000,0.994051763,-0.099933024,0.043072381,0.000000000,-0.100071190,-0.994970042,0.001058161,0.000000000,0.042750806,-0.005362275,-0.999071376,0.000000000,0.460409332,-0.006235143,0.196799544,1.000000000
1774903392.000000000,752828836.000000000,0.994157990,-0.098672653,0.043524087,0.000000000,-0.098779883,-0.995099584,0.000314613,0.000000000,0.043280591,-0.004612168,-0.999052310,0.000000000,0.463454363,-0.007324201,0.195009555,1.000000000
1774903392.000000000,786147594.000000000,0.994268900,-0.097432896,0.043782776,0.000000000,-0.097494191,-0.995226147,-0.000738266,0.000000000,0.043646536,-0.003534599,-0.999040783,0.000000000,0.466738142,-0.008432173,0.192884633,1.000000000
1774903392.000000000,820448398.000000000,0.994385103,-0.096168577,0.043938804,0.000000000,-0.096184849,-0.995352281,-0.001748585,0.000000000,0.043903593,-0.002487528,-0.999032676,0.000000000,0.470307000,-0.009664646,0.190800642,1.000000000
