ros_time_sec,ros_time_nsec,O_T_EE_0,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15
1774902491.000000000,826955556.000000000,0.988211033,-0.147949625,0.039122996,0.000000000,-0.150126539,-0.986819555,0.060248950,0.000000000,0.029694099,-0.065413337,-0.997416340,0.000000000,0.341077261,-0.007867708,0.286510093,1.000000000
1774902491.000000000,861531734.000000000,0.988212899,-0.147936707,0.039124729,0.000000000,-0.150113738,-0.986821532,0.060248449,0.000000000,0.029696740,-0.065412714,-0.997416303,0.000000000,0.341079125,-0.007869867,0.286510429,1.000000000
1774902491.000000000,895234346.000000000,0.988207684,-0.147963302,0.039155859,0.000000000,-0.150141788,-0.986818384,0.060230119,0.000000000,0.029728446,-0.065400056,-0.997416188,0.000000000,0.341087455,-0.007878301,0.286521582,1.000000000
1774902491.000000000,929136991.000000000,0.988187417,-0.148002524,0.039517439,0.000000000,-0.150203073,-0.986812227,0.060178166,0.000000000,0.030090351,-0.065404206,-0.997405063,0.000000000,0.341179342,-0.007900397,0.286596160,1.000000000
1774902491.000000000,963438987.000000000,0.988063244,-0.148412222,0.041055873,0.000000000,-0.150701926,-0.986757696,0.059824122,0.000000000,0.031634177,-0.065298472,-0.997364221,0.000000000,0.341621424,-0.008055565,0.286968734,1.000000000
1774902491.000000000,997457742.000000000,0.987703404,-0.149847734,0.044366539,0.000000000,-0.152318698,-0.986568439,0.058842809,0.000000000,0.034953838,-0.064878345,-0.997280818,0.000000000,0.342689663,-0.008591664,0.287904905,1.000000000
1774902492.000000000,31414508.000000000,0.987238337,-0.151699882,0.048253060,0.000000000,-0.154367077,-0.986334348,0.057411727,0.000000000,0.038885047,-0.064128976,-0.997183748,0.000000000,0.344209430,-0.009559974,0.289231176,1.000000000
1774902492.000000000,65469264.000000000,0.986800090,-0.153430472,0.051627701,0.000000000,-0.156242875,-0.986135364,0.055731098,0.000000000,0.042361869,-0.063063127,-0.997110081,0.000000000,0.345909330,-0.010630907,0.290628143,1.000000000
1774902492.000000000,99411964.000000000,0.986351674,-0.155258053,0.054644846,0.000000000,-0.158197954,-0.985900910,0.054346579,0.000000000,0.045437535,-0.062250741,-0.997025715,0.000000000,0.347885384,-0.011712456,0.292095539,1.000000000
1774902492.000000000,133478641.000000000,0.985929288,-0.156932574,0.057413876,0.000000000,-0.159988135,-0.985676608,0.053161724,0.000000000,0.048249637,-0.061600426,-0.996933980,0.000000000,0.350167099,-0.012921182,0.293616361,1.000000000
1774902492.000000000,167103052.000000000,0.985555469,-0.158382011,0.059802194,0.000000000,-0.161552522,-0.985456150,0.052513859,0.000000000,0.050616164,-0.061417699,-0.996827904,0.000000000,0.352482246,-0.014135595,0.295134528,1.000000000
1774902492.000000000,201306104.000000000,0.985164534,-0.160119889,0.061589034,0.000000000,-0.163384113,-0.985170972,0.052197069,0.000000000,0.052318947,-0.061486554,-0.996735738,0.000000000,0.355639124,-0.015732457,0.296969280,1.000000000
1774902492.000000000,234808921.000000000,0.984903657,-0.161523313,0.062094712,0.000000000,-0.164802514,-0.984950945,0.051889437,0.000000000,0.052779908,-0.061340642,-0.996720426,0.000000000,0.358691108,-0.017203133,0.298220306,1.000000000
1774902492.000000000,269393205.000000000,0.984661648,-0.162629829,0.063037485,0.000000000,-0.165941548,-0.984784703,0.051412438,0.000000000,0.053718189,-0.061085570,-0.996685963,0.000000000,0.362211609,-0.018610852,0.299641958,1.000000000
1774902492.000000000,303143262.000000000,0.984523776,-0.163539449,0.062837330,0.000000000,-0.166830421,-0.984642852,0.051252439,0.000000000,0.053491562,-0.060943596,-0.996706843,0.000000000,0.365935136,-0.020011984,0.300743695,1.000000000
1774902492.000000000,337217807.000000000,0.984396373,-0.164125753,0.063302968,0.000000000,-0.167417481,-0.984569825,0.050738489,0.000000000,0.053999739,-0.060545974,-0.996703674,0.000000000,0.370168139,-0.021268891,0.301941964,1.000000000
